Time,x-axis,y-axis,z-axis
46.6,132.2669373,63.79601288,-13.9488821
46.64,132.137619,63.59352493,-14.09972858
46.68,130.9777832,63.30604935,-15.14743137
46.72,130.0256348,63.37329102,-16.02964973
46.76,129.0272827,63.1625824,-16.88976669
46.8,128.1900635,62.91539764,-17.6904583
46.84,128.1483612,62.88503647,-17.92163277
46.88,127.6799011,62.81658936,-18.38764
46.92,127.063179,62.79666138,-19.20602798
46.96,126.924881,62.79051208,-19.49853706
47,126.7694092,62.81492233,-19.74238586
47.04,126.6581497,62.7865715,-19.79373741
47.08,126.3289871,62.97768021,-20.23613358
47.12,126.0709381,63.141716,-20.70482063
47.16,125.5358353,63.03888702,-21.52419853
47.2,125.1360016,63.05706787,-22.23121643
47.24,124.9083633,63.22846985,-22.80389977
47.28,124.7068176,63.37441254,-23.32942009
47.32,124.5036163,63.52223969,-23.84326172
47.36,123.8884125,63.80032349,-24.7369957
47.4,123.5519257,64.06031036,-25.29501152
47.44,124.1033859,64.07098389,-24.82979393
47.48,125.2499924,63.91302872,-23.7684021
47.52,126.2476425,63.83492279,-22.90913391
47.56,126.8570557,63.69966507,-22.26816368
47.6,126.9835129,63.7010994,-22.19941521
47.64,127.0165787,63.71025085,-22.09125519
47.68,126.8963699,63.41770935,-21.99038887
47.72,126.0765839,63.06606293,-22.8076458
47.76,124.0805283,62.50881577,-24.84060287
47.8,120.0170212,61.68985367,-29.05364227
47.84,116.0130768,60.80114365,-34.06068039
47.88,113.0423431,59.57884979,-38.82976532
47.92,110.8876266,57.53211594,-43.48939133
47.96,109.1193466,55.45388031,-46.95475769
48,108.5197449,53.8807869,-48.22441483
48.04,109.2314224,52.61715317,-46.79060364
48.08,110.3463516,51.7859993,-44.75588226
48.12,110.6152039,51.89398193,-44.2051239
48.16,109.7679672,52.59997177,-44.829422
48.2,107.9308319,53.53902054,-46.41204834
48.24,105.1096878,54.88357544,-49.3379631
48.28,103.7155151,56.04010391,-50.96147919
48.32,104.0067902,56.97760773,-50.73249054
48.36,105.680603,57.37137222,-49.19395828
48.4,108.3862381,57.54105377,-46.01099014
48.44,110.979393,57.69254303,-42.64384842
48.48,112.6063309,58.16261673,-41.45417786
48.52,113.3339005,59.19015121,-41.64859009
48.56,114.6911469,60.03313828,-40.15018845
48.6,116.8662949,60.75712585,-37.81443024
48.64,119.3744354,61.46979904,-35.54274368
48.68,121.6695404,62.08817291,-33.34532928
48.72,123.7226715,62.4560585,-31.15169144
48.76,125.5470276,62.78205109,-28.94215965
48.8,126.9511185,63.40973282,-27.07744598
48.84,128.2594604,64.47672272,-25.89416122
48.88,129.8024597,65.46733093,-24.65803337
48.92,131.4395294,66.56912994,-23.46125793
48.96,133.219986,67.48555756,-22.13485909
49,135.2682343,68.0696106,-20.56350136
49.04,137.0766754,68.19577789,-19.00109673
49.08,138.7573395,68.03479767,-17.24332809
49.12,140.4517059,68.00829315,-15.41843605
49.16,142.5184021,68.32888031,-13.21980381
49.2,145.0349884,69.2424469,-10.94334126
49.24,145.7088318,70.94570923,-10.89791393
49.28,144.0832825,72.43524933,-12.6121397
49.32,140.1712494,73.06389618,-16.22364235
