Time,x-axis,y-axis,z-axis
111.12 s   ,-9.296651840209961 degree/s  ,-20.014564514160156 degree/s   ,82.61438751220703 degree/s   
111.16 s   ,-9.69595718383789 degree/s  ,-20.031538009643555 degree/s   ,82.9549789428711 degree/s   
111.2 s   ,-10.093219757080078 degree/s  ,-20.044296264648438 degree/s   ,83.2950668334961 degree/s   
111.24000000000001 s   ,-10.550738334655762 degree/s  ,-20.07625961303711 degree/s   ,83.69235229492188 degree/s   
111.28 s   ,-10.9519624710083 degree/s  ,-20.088605880737305 degree/s   ,84.03677368164062 degree/s   
111.32000000000001 s   ,-11.355612754821777 degree/s  ,-20.084449768066406 degree/s   ,84.39035034179688 degree/s   
111.36 s   ,-11.876328468322754 degree/s  ,-20.104488372802734 degree/s   ,84.8548812866211 degree/s   
111.4 s   ,-12.454586029052734 degree/s  ,-20.12887191772461 degree/s   ,85.37345886230469 degree/s   
111.44 s   ,-12.944368362426758 degree/s  ,-20.13039779663086 degree/s   ,85.80754852294922 degree/s   
111.48 s   ,-13.624847412109375 degree/s  ,-20.16161346435547 degree/s   ,86.41465759277344 degree/s   
111.52 s   ,-14.590654373168945 degree/s  ,-20.21636199951172 degree/s   ,87.28368377685547 degree/s   
111.56 s   ,-15.448060035705566 degree/s  ,-20.249162673950195 degree/s   ,88.05431365966797 degree/s   
111.60000000000001 s   ,-16.19774055480957 degree/s  ,-20.291635513305664 degree/s   ,88.7258071899414 degree/s   
111.64 s   ,-16.913389205932617 degree/s  ,-20.3109188079834 degree/s   ,89.36492156982422 degree/s   
111.68 s   ,-17.62641716003418 degree/s  ,-20.315649032592773 degree/s   ,90.00555419921875 degree/s   
111.72 s   ,-18.626731872558594 degree/s  ,-20.328685760498047 degree/s   ,90.89956665039062 degree/s   
111.76 s   ,-19.389720916748047 degree/s  ,-20.33563804626465 degree/s   ,91.58848571777344 degree/s   
111.8 s   ,-19.9709415435791 degree/s  ,-20.343338012695312 degree/s   ,92.119873046875 degree/s   
111.84 s   ,-20.457763671875 degree/s  ,-20.358951568603516 degree/s   ,92.56996154785156 degree/s   
111.88 s   ,-20.991748809814453 degree/s  ,-20.361705780029297 degree/s   ,93.05787658691406 degree/s   
111.92 s   ,-21.548513412475586 degree/s  ,-20.354434967041016 degree/s   ,93.56361389160156 degree/s   
111.96000000000001 s   ,-22.15409278869629 degree/s  ,-20.335540771484375 degree/s   ,94.10601043701172 degree/s   
112.0 s   ,-22.835615158081055 degree/s  ,-20.304895401000977 degree/s   ,94.70646667480469 degree/s   
112.04 s   ,-23.50495719909668 degree/s  ,-20.260221481323242 degree/s   ,95.29507446289062 degree/s   
112.08 s   ,-24.015573501586914 degree/s  ,-20.224885940551758 degree/s   ,95.75540161132812 degree/s   
112.12 s   ,-24.326387405395508 degree/s  ,-20.219736099243164 degree/s   ,96.06025695800781 degree/s   
112.16 s   ,-24.557823181152344 degree/s  ,-20.233091354370117 degree/s   ,96.30970764160156 degree/s   
112.2 s   ,-24.743555068969727 degree/s  ,-20.260570526123047 degree/s   ,96.52883911132812 degree/s   
112.24000000000001 s   ,-24.907695770263672 degree/s  ,-20.287965774536133 degree/s   ,96.73651885986328 degree/s   
112.28 s   ,-24.996826171875 degree/s  ,-20.351238250732422 degree/s   ,96.91193389892578 degree/s   
112.32000000000001 s   ,-25.067115783691406 degree/s  ,-20.447229385375977 degree/s   ,97.07425689697266 degree/s   
112.36 s   ,-25.152603149414062 degree/s  ,-20.524051666259766 degree/s   ,97.23399353027344 degree/s   
112.4 s   ,-25.25344467163086 degree/s  ,-20.554399490356445 degree/s   ,97.41255187988281 degree/s   
112.44 s   ,-25.333593368530273 degree/s  ,-20.583555221557617 degree/s   ,97.59173583984375 degree/s   
112.48 s   ,-25.37790298461914 degree/s  ,-20.654788970947266 degree/s   ,97.75055694580078 degree/s   
112.52 s   ,-25.39747428894043 degree/s  ,-20.701459884643555 degree/s   ,97.8616714477539 degree/s   
112.56 s   ,-25.42150115966797 degree/s  ,-20.713762283325195 degree/s   ,97.94154357910156 degree/s   
112.60000000000001 s   ,-25.46065330505371 degree/s  ,-20.718469619750977 degree/s   ,98.04478454589844 degree/s   
112.64 s   ,-25.500547409057617 degree/s  ,-20.71647834777832 degree/s   ,98.1963882446289 degree/s   
112.68 s   ,-25.50640296936035 degree/s  ,-20.6995792388916 degree/s   ,98.38473510742188 degree/s   
112.72 s   ,-25.515283584594727 degree/s  ,-20.61504364013672 degree/s   ,98.64281463623047 degree/s   
112.76 s   ,-25.526159286499023 degree/s  ,-20.540523529052734 degree/s   ,98.98334503173828 degree/s   
112.8 s   ,-25.57139015197754 degree/s  ,-20.48995018005371 degree/s   ,99.46961975097656 degree/s   
112.84 s   ,-25.590879440307617 degree/s  ,-20.427230834960938 degree/s   ,100.08139038085938 degree/s   
112.88 s   ,-25.64667510986328 degree/s  ,-20.30845832824707 degree/s   ,100.83203887939453 degree/s   
112.92 s   ,-25.782014846801758 degree/s  ,-20.164220809936523 degree/s   ,101.79252624511719 degree/s   
112.96000000000001 s   ,-26.030433654785156 degree/s  ,-19.851940155029297 degree/s   ,103.02305603027344 degree/s   
113.0 s   ,-26.579151153564453 degree/s  ,-19.64702796936035 degree/s   ,104.76242065429688 degree/s   
113.04 s   ,-27.50704002380371 degree/s  ,-19.702505111694336 degree/s   ,107.01505279541016 degree/s   
113.08 s   ,-28.843618392944336 degree/s  ,-19.958280563354492 degree/s   ,109.44219207763672 degree/s   
113.12 s   ,-30.564350128173828 degree/s  ,-20.510618209838867 degree/s   ,111.82191467285156 degree/s   
113.16 s   ,-32.25079345703125 degree/s  ,-21.643468856811523 degree/s   ,114.53056335449219 degree/s   
113.2 s   ,-33.57427978515625 degree/s  ,-22.462528228759766 degree/s   ,116.6451187133789 degree/s   
113.24000000000001 s   ,-34.305381774902344 degree/s  ,-22.6430721282959 degree/s   ,117.4521713256836 degree/s   
113.28 s   ,-33.96751403808594 degree/s  ,-22.33953285217285 degree/s   ,116.3392333984375 degree/s   
113.32000000000001 s   ,-32.748348236083984 degree/s  ,-22.20828628540039 degree/s   ,113.70396423339844 degree/s   
113.36 s   ,-30.969701766967773 degree/s  ,-22.490835189819336 degree/s   ,110.08158874511719 degree/s   
113.4 s   ,-28.866666793823242 degree/s  ,-23.224483489990234 degree/s   ,105.98660278320312 degree/s   
113.44 s   ,-26.697771072387695 degree/s  ,-24.205158233642578 degree/s   ,101.63304138183594 degree/s   
113.48 s   ,-24.630815505981445 degree/s  ,-25.670217514038086 degree/s   ,97.46932983398438 degree/s   
113.52 s   ,-22.639944076538086 degree/s  ,-27.29900550842285 degree/s   ,93.53971862792969 degree/s   
113.56 s   ,-20.510852813720703 degree/s  ,-28.77082061767578 degree/s   ,89.6018295288086 degree/s   
113.60000000000001 s   ,-18.320466995239258 degree/s  ,-29.755542755126953 degree/s   ,85.68942260742188 degree/s   
113.64 s   ,-16.54332733154297 degree/s  ,-30.34665870666504 degree/s   ,82.49400329589844 degree/s   
113.68 s   ,-15.473514556884766 degree/s  ,-30.643301010131836 degree/s   ,80.5105209350586 degree/s   
113.72 s   ,-15.024031639099121 degree/s  ,-30.548873901367188 degree/s   ,79.47383117675781 degree/s   
113.76 s   ,-15.049922943115234 degree/s  ,-31.034008026123047 degree/s   ,79.17974853515625 degree/s   
113.8 s   ,-15.235257148742676 degree/s  ,-31.419849395751953 degree/s   ,79.1216812133789 degree/s   
113.84 s   ,-15.551414489746094 degree/s  ,-31.49849510192871 degree/s   ,79.23226928710938 degree/s   
113.88 s   ,-15.980001449584961 degree/s  ,-31.668392181396484 degree/s   ,79.60778045654297 degree/s   
113.92 s   ,-16.638118743896484 degree/s  ,-31.759929656982422 degree/s   ,80.42538452148438 degree/s   
113.96000000000001 s   ,-17.46891975402832 degree/s  ,-31.775421142578125 degree/s   ,81.62730407714844 degree/s   
114.0 s   ,-18.175729751586914 degree/s  ,-29.65492057800293 degree/s   ,82.24111938476562 degree/s   
114.04 s   ,-18.30999183654785 degree/s  ,-27.663475036621094 degree/s   ,81.86461639404297 degree/s   
114.08 s   ,-19.0787296295166 degree/s  ,-29.905059814453125 degree/s   ,83.17615509033203 degree/s   
114.12 s   ,-19.684179306030273 degree/s  ,-27.593931198120117 degree/s   ,83.24024200439453 degree/s   
114.16 s   ,-20.708593368530273 degree/s  ,-29.05523681640625 degree/s   ,85.23760223388672 degree/s   
114.2 s   ,-21.371868133544922 degree/s  ,-27.604209899902344 degree/s   ,85.99492645263672 degree/s   
114.24000000000001 s   ,-21.974323272705078 degree/s  ,-26.345857620239258 degree/s   ,86.47126007080078 degree/s   
114.28 s   ,-22.67535972595215 degree/s  ,-26.424020767211914 degree/s   ,87.32403564453125 degree/s   
114.32000000000001 s   ,-23.19124984741211 degree/s  ,-25.401142120361328 degree/s   ,87.6310043334961 degree/s   
114.36 s   ,-23.73630142211914 degree/s  ,-25.236074447631836 degree/s   ,88.31214141845703 degree/s   
114.4 s   ,-24.24916648864746 degree/s  ,-24.925729751586914 degree/s   ,88.83393859863281 degree/s   
114.44 s   ,-24.804258346557617 degree/s  ,-24.845441818237305 degree/s   ,89.42202758789062 degree/s   
114.48 s   ,-25.313268661499023 degree/s  ,-24.523252487182617 degree/s   ,89.92095947265625 degree/s   
114.52 s   ,-25.769386291503906 degree/s  ,-24.11835289001465 degree/s   ,90.48773956298828 degree/s   
114.56 s   ,-26.374317169189453 degree/s  ,-24.52338218688965 degree/s   ,91.42431640625 degree/s   
114.60000000000001 s   ,-26.85541343688965 degree/s  ,-23.990476608276367 degree/s   ,91.82591247558594 degree/s   
114.64 s   ,-27.46082305908203 degree/s  ,-24.247486114501953 degree/s   ,92.76800537109375 degree/s   
114.68 s   ,-28.064680099487305 degree/s  ,-24.13454818725586 degree/s   ,93.45501708984375 degree/s   
114.72 s   ,-28.738218307495117 degree/s  ,-24.301044464111328 degree/s   ,94.37538146972656 degree/s   
114.76 s   ,-29.40349769592285 degree/s  ,-24.352092742919922 degree/s   ,95.20970916748047 degree/s   
114.8 s   ,-29.942556381225586 degree/s  ,-23.733163833618164 degree/s   ,95.64998626708984 degree/s   
114.84 s   ,-30.56987953186035 degree/s  ,-23.83871078491211 degree/s   ,96.5848388671875 degree/s   
114.88 s   ,-31.04395866394043 degree/s  ,-23.100387573242188 degree/s   ,96.98554229736328 degree/s   
114.92 s   ,-31.6483211517334 degree/s  ,-22.904518127441406 degree/s   ,97.78395080566406 degree/s   
114.96000000000001 s   ,-32.09315872192383 degree/s  ,-21.91900634765625 degree/s   ,98.06981658935547 degree/s   
115.0 s   ,-32.56560134887695 degree/s  ,-20.9792423248291 degree/s   ,98.3130874633789 degree/s   
115.04 s   ,-33.04707717895508 degree/s  ,-20.569965362548828 degree/s   ,98.82549285888672 degree/s   
115.08 s   ,-33.34069061279297 degree/s  ,-19.654943466186523 degree/s   ,98.79484558105469 degree/s   
115.12 s   ,-33.89518356323242 degree/s  ,-20.07750701904297 degree/s   ,99.6075210571289 degree/s   
115.16 s   ,-34.31275177001953 degree/s  ,-19.843551635742188 degree/s   ,99.9905776977539 degree/s   
115.2 s   ,-34.827667236328125 degree/s  ,-20.720664978027344 degree/s   ,101.26322174072266 degree/s   
115.24000000000001 s   ,-35.03868865966797 degree/s  ,-20.486492156982422 degree/s   ,101.56482696533203 degree/s   
115.28 s   ,-35.33543014526367 degree/s  ,-20.769269943237305 degree/s   ,102.21723937988281 degree/s   
115.32000000000001 s   ,-35.466129302978516 degree/s  ,-20.54451560974121 degree/s   ,102.47823333740234 degree/s   
115.36 s   ,-35.483360290527344 degree/s  ,-19.987512588500977 degree/s   ,102.46912384033203 degree/s   
115.4 s   ,-35.50186538696289 degree/s  ,-19.11089515686035 degree/s   ,102.28331756591797 degree/s   
115.44 s   ,-35.58743667602539 degree/s  ,-18.741552352905273 degree/s   ,102.54767608642578 degree/s   
115.48 s   ,-35.56419372558594 degree/s  ,-17.83989906311035 degree/s   ,102.48082733154297 degree/s   
115.52 s   ,-35.65241622924805 degree/s  ,-17.292499542236328 degree/s   ,102.69159698486328 degree/s   
115.56 s   ,-35.785179138183594 degree/s  ,-17.099960327148438 degree/s   ,103.1479263305664 degree/s   
115.60000000000001 s   ,-35.85444259643555 degree/s  ,-16.47817039489746 degree/s   ,103.25639343261719 degree/s   
115.64 s   ,-36.06831359863281 degree/s  ,-16.246767044067383 degree/s   ,103.7811050415039 degree/s   
115.68 s   ,-36.29128646850586 degree/s  ,-16.04483413696289 degree/s   ,104.39822387695312 degree/s   
115.72 s   ,-36.47983169555664 degree/s  ,-15.783493995666504 degree/s   ,105.0948715209961 degree/s   
115.76 s   ,-36.643314361572266 degree/s  ,-15.527985572814941 degree/s   ,105.990478515625 degree/s   
115.8 s   ,-36.798736572265625 degree/s  ,-15.186948776245117 degree/s   ,106.97779083251953 degree/s   
115.84 s   ,-37.03459548950195 degree/s  ,-15.003750801086426 degree/s   ,108.14476013183594 degree/s   
115.88 s   ,-37.29279327392578 degree/s  ,-14.921439170837402 degree/s   ,109.4395980834961 degree/s   
115.92 s   ,-37.54665756225586 degree/s  ,-14.863822937011719 degree/s   ,110.70957946777344 degree/s   
115.96000000000001 s   ,-37.76115798950195 degree/s  ,-15.025641441345215 degree/s   ,111.94332122802734 degree/s   
116.0 s   ,-37.93058395385742 degree/s  ,-15.301547050476074 degree/s   ,113.06160736083984 degree/s   
116.04 s   ,-38.039093017578125 degree/s  ,-15.410541534423828 degree/s   ,113.93873596191406 degree/s   
116.08 s   ,-38.11315155029297 degree/s  ,-15.456090927124023 degree/s   ,114.681640625 degree/s   
116.12 s   ,-38.14619827270508 degree/s  ,-15.427902221679688 degree/s   ,115.30696105957031 degree/s   
116.16 s   ,-38.21113586425781 degree/s  ,-15.501490592956543 degree/s   ,115.96514129638672 degree/s   
116.2 s   ,-38.28330993652344 degree/s  ,-15.577759742736816 degree/s   ,116.64425659179688 degree/s   
116.24000000000001 s   ,-38.3497314453125 degree/s  ,-15.591492652893066 degree/s   ,117.34603118896484 degree/s   
116.28 s   ,-38.42974090576172 degree/s  ,-15.497211456298828 degree/s   ,118.021484375 degree/s   
116.32000000000001 s   ,-38.51908493041992 degree/s  ,-15.504056930541992 degree/s   ,118.7782974243164 degree/s   
116.36 s   ,-38.63381576538086 degree/s  ,-15.443432807922363 degree/s   ,119.45977020263672 degree/s   
116.4 s   ,-38.73332977294922 degree/s  ,-15.326723098754883 degree/s   ,120.11238098144531 degree/s   
116.44 s   ,-38.82654571533203 degree/s  ,-15.126945495605469 degree/s   ,120.73320007324219 degree/s   
