Time,x-axis,y-axis,z-axis
73.36,-155.2540131,-68.50829315185547 degree/s   ,Ez: -175.05764770507812 degree/s   
73.4,-154.90951538085938 degree/s  ,-69.1362533569336 degree/s   ,Ez: -174.5919952392578 degree/s   
73.44,-154.66595458984375 degree/s  ,-69.57374572753906 degree/s   ,Ez: -174.29664611816406 degree/s   
73.48,-154.48553466796875 degree/s  ,-69.84178161621094 degree/s   ,Ez: -174.1160125732422 degree/s   
73.52,-154.18963623046875 degree/s  ,-70.42139434814453 degree/s   ,Ez: -173.6998291015625 degree/s   
73.56,-154.0971221923828 degree/s  ,-70.61882781982422 degree/s   ,Ez: -173.58660888671875 degree/s   
73.6,-153.85467529296875 degree/s  ,-70.95874786376953 degree/s   ,Ez: -173.43919372558594 degree/s   
73.64,-153.6097869873047 degree/s  ,-71.25495147705078 degree/s   ,Ez: -173.3218231201172 degree/s   
73.68 s   ,-153.34408569335938 degree/s  ,-71.60519409179688 degree/s   ,Ez: -173.15943908691406 degree/s   
73.72 s   ,-152.9595489501953 degree/s  ,-72.11690521240234 degree/s   ,Ez: -172.94039916992188 degree/s   
73.76 s   ,-152.57957458496094 degree/s  ,-72.58123016357422 degree/s   ,Ez: -172.7926788330078 degree/s   
73.8 s   ,-152.2978515625 degree/s  ,-72.8980484008789 degree/s   ,Ez: -172.72251892089844 degree/s   
73.84 s   ,-151.78146362304688 degree/s  ,-73.40702056884766 degree/s   ,Ez: -172.660400390625 degree/s   
73.88 s   ,-151.4769287109375 degree/s  ,-73.71060180664062 degree/s   ,Ez: -172.6428985595703 degree/s   
73.92 s   ,-151.2240753173828 degree/s  ,-73.92304992675781 degree/s   ,Ez: -172.672119140625 degree/s   
73.96000000000001 s   ,-151.0471649169922 degree/s  ,-74.04310607910156 degree/s   ,Ez: -172.69509887695312 degree/s   
74.0 s   ,-150.61276245117188 degree/s  ,-74.40556335449219 degree/s   ,Ez: -172.7310333251953 degree/s   
74.04 s   ,-150.4554901123047 degree/s  ,-74.56343078613281 degree/s   ,Ez: -172.73985290527344 degree/s   
74.08 s   ,-149.8358154296875 degree/s  ,-75.02253723144531 degree/s   ,Ez: -172.89193725585938 degree/s   
74.12 s   ,-149.35928344726562 degree/s  ,-75.32744598388672 degree/s   ,Ez: -173.06509399414062 degree/s   
74.16 s   ,-149.16250610351562 degree/s  ,-75.42705535888672 degree/s   ,Ez: -173.14479064941406 degree/s   
74.2 s   ,-148.74639892578125 degree/s  ,-75.71356201171875 degree/s   ,Ez: -173.27027893066406 degree/s   
74.24 s   ,-148.63058471679688 degree/s  ,-75.80562591552734 degree/s   ,Ez: -173.32119750976562 degree/s   
74.28 s   ,-148.21592712402344 degree/s  ,-76.05821990966797 degree/s   ,Ez: -173.50270080566406 degree/s   
74.32000000000001 s   ,-147.79116821289062 degree/s  ,-76.27825164794922 degree/s   ,Ez: -173.71270751953125 degree/s   
74.36 s   ,-147.56407165527344 degree/s  ,-76.38751220703125 degree/s   ,Ez: -173.84796142578125 degree/s   
74.4 s   ,-147.3602294921875 degree/s  ,-76.45660400390625 degree/s   ,Ez: -173.9449920654297 degree/s   
74.44 s   ,-147.22854614257812 degree/s  ,-76.54586791992188 degree/s   ,Ez: -174.0170440673828 degree/s   
74.48 s   ,-147.04501342773438 degree/s  ,-76.64720153808594 degree/s   ,Ez: -174.1319122314453 degree/s   
74.52 s   ,-146.75967407226562 degree/s  ,-76.75992584228516 degree/s   ,Ez: -174.3146209716797 degree/s   
74.56 s   ,-146.52151489257812 degree/s  ,-76.85856628417969 degree/s   ,Ez: -174.44412231445312 degree/s   
74.60000000000001 s   ,-146.27963256835938 degree/s  ,-76.95756530761719 degree/s   ,Ez: -174.5770263671875 degree/s   
74.64 s   ,-145.963134765625 degree/s  ,-77.09606170654297 degree/s   ,Ez: -174.78643798828125 degree/s   
74.68 s   ,-145.7462921142578 degree/s  ,-77.17340850830078 degree/s   ,Ez: -174.95126342773438 degree/s   
74.72 s   ,-145.40069580078125 degree/s  ,-77.31888580322266 degree/s   ,Ez: -175.1841583251953 degree/s   
74.76 s   ,-145.10794067382812 degree/s  ,-77.42591094970703 degree/s   ,Ez: -175.35812377929688 degree/s   
74.8 s   ,-144.9396209716797 degree/s  ,-77.504150390625 degree/s   ,Ez: -175.4748077392578 degree/s   
74.84 s   ,-144.5847625732422 degree/s  ,-77.63188934326172 degree/s   ,Ez: -175.7208251953125 degree/s   
74.88 s   ,-144.40310668945312 degree/s  ,-77.68828582763672 degree/s   ,Ez: -175.82614135742188 degree/s   
74.92 s   ,-144.2008819580078 degree/s  ,-77.72406005859375 degree/s   ,Ez: -175.94232177734375 degree/s   
74.96000000000001 s   ,-144.01168823242188 degree/s  ,-77.77120971679688 degree/s   ,Ez: -176.05357360839844 degree/s   
75.0 s   ,-143.8174591064453 degree/s  ,-77.8293685913086 degree/s   ,Ez: -176.17465209960938 degree/s   
75.04 s   ,-143.6346893310547 degree/s  ,-77.86871337890625 degree/s   ,Ez: -176.27732849121094 degree/s   
75.08 s   ,-143.386474609375 degree/s  ,-77.9516372680664 degree/s   ,Ez: -176.4329376220703 degree/s   
75.12 s   ,-143.1612091064453 degree/s  ,-78.01900482177734 degree/s   ,Ez: -176.5830841064453 degree/s   
75.16 s   ,-142.96005249023438 degree/s  ,-78.07837677001953 degree/s   ,Ez: -176.72071838378906 degree/s   
75.2 s   ,-142.69374084472656 degree/s  ,-78.17748260498047 degree/s   ,Ez: -176.90045166015625 degree/s   
75.24 s   ,-142.45797729492188 degree/s  ,-78.25736999511719 degree/s   ,Ez: -177.08872985839844 degree/s   
75.28 s   ,-142.24655151367188 degree/s  ,-78.30857849121094 degree/s   ,Ez: -177.23915100097656 degree/s   
75.32000000000001 s   ,-141.91354370117188 degree/s  ,-78.36070251464844 degree/s   ,Ez: -177.4410400390625 degree/s   
75.36 s   ,-141.5162811279297 degree/s  ,-78.41618347167969 degree/s   ,Ez: -177.6539764404297 degree/s   
75.4 s   ,-141.11984252929688 degree/s  ,-78.49036407470703 degree/s   ,Ez: -177.87901306152344 degree/s   
75.44 s   ,-140.5556182861328 degree/s  ,-78.58360290527344 degree/s   ,Ez: -178.23690795898438 degree/s   
75.48 s   ,-139.6060333251953 degree/s  ,-78.70215606689453 degree/s   ,Ez: -178.81796264648438 degree/s   
75.52 s   ,-138.4204559326172 degree/s  ,-78.86239624023438 degree/s   ,Ez: -179.59725952148438 degree/s   
75.56 s   ,-137.54449462890625 degree/s  ,-79.11888122558594 degree/s   ,Ez: 179.82577514648438 degree/s   
75.60000000000001 s   ,-137.34939575195312 degree/s  ,-79.55615997314453 degree/s   ,Ez: 179.85214233398438 degree/s   
